MAC Address,Device Name
40:f6:bc:bc:89:7b,Echo Dot (4th Gen)
68:3a:48:0d:d4:1c,Aeotec Smart Hub
70:ee:50:57:95:29,Netatmo Smart Indoor Security Camera
54:af:97:bb:8d:8f,TP-Link Tapo Pan/Tilt Wi-Fi Camera
70:09:71:9d:ad:10,32' Smart Monitor M80B UHD
00:16:6c:d7:d5:f9,SAMSUNG Pan/Tilt 1080P Wi-Fi Camera
40:ac:bf:29:04:d4,EZVIZ Security Camera
10:5a:17:b8:a2:0b,TOPERSUN Smart Plug
10:5a:17:b8:9f:70,TOPERSUN Smart Plug
fc:67:1f:53:fa:6e,Perfk Motion Sensor
1c:90:ff:bf:89:46,Perfk Motion Sensor
cc:a7:c1:6a:b5:78,NEST Protect smoke alarm
70:ee:50:96:bb:dc,Netatmo Weather Station
00:24:e4:e3:15:6e,Withings Body+ (Scales)
00:24:e4:e4:55:26,Withings Body+ (Scales)
00:24:e4:f6:91:38,Withings Connect (Blood Pressure)
00:24:e4:f7:ee:ac,Withings Connect (Blood Pressure)
70:3a:2d:4a:48:e2,TUYA Smartdoor Bell
b0:02:47:6f:63:37,Pix-Star Easy Digital Photo Frame
84:69:93:27:ad:35,HP Envy
18:48:be:31:4b:49,Echo Show 8
74:d4:23:32:a2:d7,Echo Show 8
6e:fe:2f:5a:d7:7e,GALAXY Watch5 Pro
90:48:6c:08:da:8a,Ring Video Doorbell
